Position,Position [µm],C,O,Si,Ca,Zr,In,Pt,S,Cu,Ga,MSS,N
171,0.769667319,84.37211903,9.908313056,1.261277873,0.045524211,0.03579897,0.040113381,0.015767242,0,0,0,0.13579216,4.185294074
172,0.774168297,84.6160932,9.482149351,1.290712499,0.045524211,0.03579897,0.015632079,0.011773479,0.009985506,0,0,0.098155366,4.394175337
173,0.778669276,85.23627915,9.075715692,1.342381784,0.045524211,0.03579897,0,0.0040598,0.015055696,0,0,0.086967735,4.158216963
174,0.783170254,85.61593798,8.909769197,1.419524567,0.032766548,0.03579897,0,0.0040598,0.026323289,0,0,0.0644563,3.891363346
175,0.787671233,85.61909883,9.143465121,1.460074371,0.019320954,0.02369357,0,0.0040598,0.026323289,0,0,0.056818974,3.647145093
176,0.792172211,85.42844528,9.520622022,1.472541586,0.019572641,0,0,0.0040598,0.041326814,0,0,0.044720842,3.468711014
177,0.79667319,85.10540418,9.966221207,1.4530059,0.019572641,0,0,0,0.059202757,0,0,0.052563423,3.344029891
178,0.801174168,85.0372192,10.18067548,1.359683402,0.027638406,0,0,0,0.084505274,0,0,0.065367169,3.244911072
179,0.805675147,85.15258605,9.992992646,1.241506801,0.026227914,0.010021904,0.010174505,0,0.102051468,0,0,0.061522682,3.402916032
180,0.810176125,85.79402842,9.329884108,1.090219865,0.031984318,0.019448503,0.026124729,0,0.13302545,0,0,0.062174034,3.513110575
181,0.814677104,86.38149528,8.794632859,0.992842208,0.022687545,0.047782975,0.035713367,0,0.137418092,0,0,0.053727498,3.533700172
182,0.819178082,86.60060524,8.708696339,0.887344206,0.022687545,0.067927194,0.035713367,0,0.134377898,0,0,0.049378323,3.493269887
183,0.823679061,86.24569644,8.906982094,0.873866454,0.01462178,0.097710244,0.035713367,0,0.116237861,0,0,0.023729936,3.685441822
184,0.828180039,85.58401113,9.447891531,0.890809043,0.01079589,0.117601901,0.025538862,0,0.099710348,0,0,0.030593968,3.793047324
185,0.832681018,84.79436272,10.13625877,1.063880584,0,0.137549687,0.009588638,0,0.080801184,0,0,0.034369681,3.743188738
186,0.837181996,83.96907415,10.73967133,1.300725679,0,0.119039429,0,0,0.077545253,0,0,0.047999386,3.745944774
187,0.841682975,83.01032751,11.02547701,1.819826886,0,0.098895211,0,0.003327631,0.065000989,0,0,0.058329137,3.918815626
188,0.846183953,81.12266995,11.44729968,2.828386887,0,0.069112161,0,0.003327631,0.05276832,0,0,0.0892589,4.387176473
189,0.850684932,77.59937061,12.29874565,4.696889088,0.010946197,0.039198599,0,0.003327631,0.040482047,0,0,0.118377414,5.192662764
190,0.85518591,70.88457799,13.91873617,8.041277854,0.018440692,0.009824215,0,0.003327631,0.028417227,0,0,0.135434034,6.959964187
191,0.859686888,61.27464721,15.99681125,12.94974802,0.018440692,0,0,0.003327631,0.019841978,0,0,0.140969205,9.596214014
192,0.864187867,48.61519681,18.63801082,19.42567549,0.018440692,0.018811215,0,0,0.007564987,0,0,0.136932759,13.13936723
193,0.868688845,36.18103523,21.0231761,25.73519378,0.018440692,0.018811215,0,0,0.007564987,0,0,0.111977357,16.90380063
194,0.873189824,24.24391634,23.57706879,31.55287064,0.007494495,0.018811215,0.012155939,0,0.007564987,0,0,0.068681526,20.51143607
195,0.877690802,15.31922918,25.99786201,35.48425664,0.006656208,0.018811215,0.044608513,0,0.007564987,0,0,0.038040641,23.08297061
196,0.882191781,8.264197005,29.69419093,37.69409056,0.006656208,0.018811215,0.085679644,0,0.007668909,0,0,0.018875765,24.20982977
197,0.886692759,4.796924082,33.89904727,37.61412073,0.010234234,0,0.241096855,0,0.019217648,0,0,0.009089054,23.41027012
198,0.891193738,2.192490328,39.44729337,36.63017531,0.010234234,0.019417932,0.632083324,0,0.035168542,0,0,0.097403392,20.93573357
199,0.895694716,1.054520875,44.91309688,34.8282789,0.010234234,0.078796457,1.500724097,0,0.035168542,0,0,0.262479738,17.31670028
200,0.900195695,0,49.77296925,32.83675064,0.003578026,0.188558627,3.247830532,0,0.035168542,0,0,0.435524566,13.47961981
201,0.904696673,0,52.56545599,29.98864628,0.05433798,0.39312096,6.342684277,0,0.027499633,0,0,0.510022391,10.11823249
202,0.909197652,0.661201995,53.37340587,26.22500589,0.245102322,0.602741779,10.76105013,0,0.015950894,0,0,0.586189315,7.529351801
203,0.91369863,1.100607851,52.53314355,21.5092395,0.61398578,0.847781858,16.65192041,0,0,0,0,0.643598827,6.099722222
204,0.918199609,1.453952967,50.47605951,16.29390622,1.129193987,1.054230886,23.27919105,0,0,0,0,0.787467667,5.525997723
205,0.922700587,1.635353291,48.19669701,11.06063364,1.754370134,1.311889442,29.75570476,0,0,0,0,1.058628468,5.226723254
206,0.927201566,2.060913295,45.86522644,6.639668332,2.380523476,1.656166041,34.85985065,0,0.013005135,0,0,1.52592179,4.998724835
